name              dmb     dmb_err   zcmb      c       c_err   x1      x1_err   lmass   lmass_up   lmass_low   lsfr    lsfr_up   lsfr_low   lssfr   lssfr_up   lssfr_low   gmass   gmass_up   gmass_low   p_young   p_highmass   notes
SNF20071015-000   +0.25   0.13      0.0374    +0.33   0.03    +1.03   0.27     8.36    +0.10      -0.10       -2.28   +0.01     -0.01      -10.6   +0.1       -0.1        10.68   +0.10      -0.10       96        100          --
SNF20071021-000   -0.02   0.14      0.0264    +0.04   0.03    -0.56   0.17     7.80    +0.11      -0.11       -2.51   +0.01     -0.01      -10.3   +0.1       -0.1        9.68    +0.10      -0.10       100       0            --
SNF20071108-021   -0.18   0.12      0.0741    -0.02   0.03    +0.95   0.17     7.77    +0.17      -0.17       -3.30   +0.07     -0.08      -11.1   +0.2       -0.2        9.12    +0.11      -0.10       8         0            --
SNF20080507-000   -0.17   0.12      0.0540    +0.06   0.03    +0.90   0.22     8.90    +0.10      -0.10       -1.94   +0.01     -0.01      -10.8   +0.1       -0.1        10.12   +0.10      -0.10       42        88           --
SNF20080510-001   +0.07   0.12      0.0725    -0.06   0.03    +0.46   0.18     7.25    +0.31      -0.36       -3.59   +0.21     -0.31      -10.9   +0.5       -0.4        8.54    +0.65      -0.55       45        0            --
SNF20080512-008   -0.07   0.12      0.0774    -0.04   0.03    +0.91   0.15     7.17    +0.32      -0.41       -3.45   +0.14     -0.25      -10.7   +0.5       -0.4        7.97    +0.20      -0.22       65        0            --
SNF20080512-010   -0.09   0.14      0.0632    -0.02   0.03    -1.40   0.26     8.91    +0.11      -0.10       -4.07   +0.34     -0.53      -13.0   +0.3       -0.5        11.71   +0.10      -0.10       0         100          --
SNF20080514-002   +0.17   0.15      0.0229    -0.12   0.03    -1.64   0.10     8.64    +0.10      -0.10       -3.54   +0.07     -0.07      -12.2   +0.1       -0.1        10.69   +0.10      -0.10       0         100          --
SNF20080516-000   +0.04   0.12      0.0733    -0.04   0.03    +1.33   0.21     7.69    +0.16      -0.16       -2.85   +0.04     -0.04      -10.5   +0.2       -0.2        8.78    +0.12      -0.12       95        0            --
SNF20080516-022   +0.04   0.12      0.0746    -0.07   0.03    +0.15   0.13     7.32    +0.30      -0.37       -3.67   +0.16     -0.27      -11.0   +0.4       -0.4        10.62   +0.10      -0.10       31        100          --
SNF20080522-011   -0.06   0.13      0.0383    -0.08   0.03    +0.83   0.17     8.09    +0.10      -0.10       -2.15   +0.01     -0.01      -10.2   +0.1       -0.1        8.62    +0.10      -0.10       100       0            --
SNF20080531-000   +0.05   0.13      0.0368    -0.04   0.03    -0.51   0.17     7.85    +0.10      -0.11       -2.12   +0.01     -0.01      -10.0   +0.1       -0.1        10.00   +0.10      -0.10       100       48           --
SNF20080610-000   +0.09   0.13      0.0788    -0.01   0.03    +0.13   0.16     7.68    +0.20      -0.19       -3.28   +0.11     -0.14      -11.0   +0.2       -0.2        8.91    +0.11      -0.11       25        0            --
SNF20080612-003   -0.24   0.13      0.0328    -0.03   0.03    +0.73   0.17     8.52    +0.10      -0.11       -2.64   +0.01     -0.01      -11.2   +0.1       -0.1        9.91    +0.10      -0.10       0         19           --
SNF20080614-010   -0.15   0.13      0.0751    +0.00   0.03    -2.33   0.14     8.14    +0.15      -0.15       -4.02   +0.32     -0.52      -12.2   +0.4       -0.5        10.56   +0.10      -0.10       0         100          --
SNF20080620-000   +0.07   0.13      0.0332    +0.01   0.03    -0.90   0.14     8.54    +0.10      -0.10       -1.99   +0.01     -0.01      -10.5   +0.1       -0.1        8.98    +0.10      -0.10       99        0            --
SNF20080623-001   +0.20   0.12      0.0448    -0.07   0.03    +0.00   0.12     7.09    +0.32      -0.39       -3.30   +0.08     -0.09      -10.4   +0.4       -0.4        8.81    +0.10      -0.10       90        0            --
SNF20080717-000   -0.03   0.12      0.0586    +0.18   0.03    +0.62   0.12     8.88    +0.10      -0.10       -1.96   +0.01     -0.01      -10.8   +0.1       -0.1        10.38   +0.10      -0.10       41        100          --
SNF20080725-004   +0.07   0.12      0.0539    -0.00   0.03    +0.59   0.12     8.56    +0.10      -0.10       -1.93   +0.01     -0.01      -10.5   +0.1       -0.1        9.83    +0.10      -0.10       99        4            --
