# night ext_offset mean_airmass num_stds diff_airmass std_weight
05_154 -0.005638216610899249 1.0993199348449707 2 0.055980086 0.055980086
05_156 0.028371366361843897 1.1247200965881348 4 0.10263002 0.16656005
05_161 0.07394608857082652 1.1704639434814452 5 0.16612995 0.28735614
05_166 0.03526777067586728 1.1824666659037273 3 0.26191998 0.31476665
05_169 -0.01806329240652005 1.1922479629516602 5 0.38126993 0.7287319
05_172 -0.015365225002021532 1.377436637878418 3 0.7235 0.8821466
05_179 -0.003150451972031121 1.3110449314117432 2 0.13655007 0.13655007
05_181 0.028447638635446637 1.1131199598312378 2 0.035840034 0.035840034
05_184 0.001926903860054452 1.205549955368042 4 0.37214005 0.48011994
05_185 -0.031038761445563168 1.0893199443817139 1 0.0 0.0
05_186 0.007701517743095465 1.4079300165176392 2 0.56685996 0.56685996
05_189 0.004089800811483357 1.2582866350809734 6 0.52250004 0.9824531
05_191 -0.025502966335633204 1.2266433238983154 3 0.17723 0.19720674
05_196 0.02745064965635713 1.3846800327301025 1 0.0 0.0
05_201 -0.009122564172704628 1.4407200813293457 3 0.71998 0.8979001
05_209 0.09361442956419985 1.190654993057251 2 0.24102998 0.24102998
05_214 0.016395670112991922 1.1503100395202637 1 0.0 0.0
05_216 0.014827876986300836 1.255662441253662 4 0.45448995 0.5255699
05_224 -0.017735659417292382 1.1185385159083776 7 0.33151996 0.7590655
05_226 -0.007902091692752578 1.226205689566476 7 0.72581005 1.5668458
05_228 -0.012933559533442107 1.1212499141693115 2 0.11580002 0.11580002
05_229 0.09350851408376037 1.1652066972520616 9 0.43298006 0.83644676
05_231 0.008638998752594773 1.2369766235351562 6 0.46574998 1.1151199
05_234 -0.008680498740826437 1.0609399795532226 5 0.12759995 0.21376002
05_235 -0.010475881671325737 1.1111585072108678 7 0.27856994 0.5138254
05_236 -0.00628001211771867 1.4207675457000732 4 0.56262994 0.84510994
05_239 -0.026837834695999874 1.0290499925613403 1 0.0 0.0
05_241 0.0002863019138974465 1.0821599960327148 2 0.13140011 0.13140011
05_246 -0.2786870108790289 1.2421200275421143 1 0.0 0.0
05_249 -0.0021088072177217754 1.0284199714660645 1 0.0 0.0
05_251 0.018776139648943868 1.1161400079727173 1 0.0 0.0
05_254 0.0036450106076468813 1.2603700160980225 2 0.47814 0.47814
05_256 0.004452454937268868 1.0261600017547607 1 0.0 0.0
05_261 0.003468674658854809 1.302202582359314 4 0.69333994 0.81937504
05_264 -0.01492757627494079 1.3158166408538818 3 0.68947005 0.8745067
05_265 0.002988135426718941 1.1198999087015789 6 0.32599998 0.6778797
05_269 -0.004095573707500577 1.0714766184488933 3 0.14531004 0.19256663
05_279 0.01457196530536109 1.275439977645874 2 0.4368 0.4368
05_281 0.0044178932952263494 1.2724366188049316 3 0.5038899 0.51124656
05_284 -0.016529385250880324 1.479176680246989 3 0.66417 0.68275344
05_286 0.0022941166116758893 1.446933428446452 3 0.82449996 0.8608066
05_291 0.023948762242076427 1.7756850719451904 2 0.34053004 0.34053004
05_294 0.02713419108818016 1.3546767234802246 3 0.55094004 0.63597333
05_296 -0.0052948287556766616 1.1191600561141968 1 0.0 0.0
05_297 -0.03212182569997246 1.3107199668884277 3 0.6215 0.6650599
05_299 0.03962362267114017 1.4971466064453125 3 0.47176993 0.47208655
05_301 0.018257335289471044 1.306915855407715 5 0.54065 1.0028641
05_304 0.035287594558191415 1.2538234392801921 3 0.50051 0.61721337
05_306 -0.0003999578539524151 1.2407033443450928 3 0.5393101 0.7070334
05_309 -0.013683299596483067 1.2205066680908203 3 0.57490003 0.74840665
05_311 -0.027095581727701656 1.2876599629720051 3 0.7753 1.01386
05_314 -0.023786248188116588 1.349303404490153 3 0.77289 0.8925333
05_316 -0.01882189092554576 1.4120999972025554 3 0.70516 0.7785001
05_319 0.03871722829488 1.7149899005889893 2 0.31120002 0.31120002
05_322 -0.0070776999202220026 1.4806232452392578 3 0.91252995 0.98073316
05_324 0.022622777391461568 1.4325950145721436 2 0.45989 0.45989
